,id,nb_hop,reasoning,query_nl,supdoc1,supdoc2,supdoc3
9567,WH_dev_4212,2,"[0] Some enchanted evening is a Rodgers and Hammerstein musical
[1] Rodgers and Hammerstein - Richard Rodgers and Oscar Hammerstein II",Some enchanted evening is composed by Richard rodgers,"`` Some Enchanted Evening '' is a show tune from the 1949 Rodgers and Hammerstein musical South Pacific . It is `` the single biggest popular hit to come out of any Rodgers and Hammerstein show . '' It is a three - verse solo for the leading male character , Emile , in which he describes seeing a stranger , knowing that you will see her again , and dreaming of her laughter . He sings that when you find your `` true love '' , you must `` fly to her side , / And make her your own '' .","Rodgers and Hammerstein refers to an influential, innovative and successful American musical theatre writing team consisting of composer Richard Rodgers (1902–1979) and lyricist-dramatist Oscar Hammerstein II (1895–1960). They created a string of popular Broadway musicals in the 1940s and 1950s, initiating what is considered the ""golden age"" of musical theatre. Five of their Broadway shows, ""Oklahoma!"", ""Carousel"", ""South Pacific"", ""The King and I"" and ""The Sound of Music"", were outstanding successes, as was the television broadcast of ""Cinderella"". Of the other four that the team produced on Broadway during their lifetimes, ""Flower Drum Song"" was well-received, and none was an outright flop. Most of their shows have received frequent revivals around the world, both professional and amateur. Among the many accolades their shows (and film versions) garnered were thirty-four Tony Awards, fifteen Academy Awards, the Pulitzer Prize, and two Grammy Awards.",None
9659,WH_dev_493,2,"[0] True Love is a Japanese erotic visual novel distributed in North America by JAST USA
[1] JAST USA is a distributor of Japanese video games, specifically visual novels",True love is an instance of Video game,"True Love ~ Jun'ai Monogatari ~ ( TRUE LOVE ～ 純愛物語 ～ ) , better known simply as True Love , is a Japanese erotic visual novel developed by Software House Parsley and published by CD Bros. , released on June 9 , 1995 for the PC - 98 and on December 6 , 1996 for Windows . It was localized in Europe by Otaku Publishing and distributed in North America by JAST USA in January 1999 .","JAST USA is a licensor and distributor of English-language versions of Japanese video games, specifically bishōjo games, dating sims, visual novels and Japanese RPGs. It was founded in 1996, and their first game releases were Sakura Soft's ""Season of the Sakura"" and JAST's ""Three Sisters' Story"". It has several subsidiary brands or labels: Peach Princess, G-Collections, and JAST Densetsu. The owner and founder of JAST USA is Peter Payne.","A , or , is ""a type of Japanese video game centered on interactions with attractive girls"". Bishōjo games are not to be confused with eroge nor dating sims, although some bishōjo games do contain erotic content."
3727,WH_dev_2690,2,"[0] glenloch interchange is in Canberra  and it is the capital of but the article does not mention that
[1] glenloch interchange is in Canberra and it is the australian capital territory",Glenloch interchange is located in Australian capital territory,"Glenloch Interchange is Canberra 's only major interchange which connects Tuggeranong Parkway with Parkes Way , William Hovell Drive and Caswell Drive ( Gungahlin Drive Extension ) . Following a major reconstruction lasting from 2007 to mid- 2008 , the interchange now operates without traffic lights . A surprising feature was the retention of an unused bridge from the previous alignment which led from the centre of the Parkes Way / Caswell Drive loop , passing east over two northbound roads , before petering out to the east . This was finally removed in late 2010 during roadworks to upgrade the new interchange to dual carriageway standards .","Canberra (or )
is the capital city of Australia. With a population of 381,488, it is Australia's largest inland city and the eighth-largest city overall. The city is located at the northern end of the Australian Capital Territory (ACT), south-west of Sydney, and north-east of Melbourne. A resident of Canberra is known as a ""Canberran"".",None
1363,WH_dev_2686,2,"[0] Ingolf Mork  won the Four Hills Tournament
[1] The Four Hills Tournament is a ski jumping competition",Ingolf mork is specialized in/is an athletic competition of Ski jumping,"Ingolf Mork ( 4 June 1947 -- 1 February 2012 ) was a Norwegian ski jumper who was born in Molde , and represented IL Hjelset - Fram and SFK Lyn in Oslo . He won the Four Hills Tournament in 1972 , and had two victories in the Holmenkollen ( 1971 and 1972 ) . In 1973 , Mork received the Holmenkollen medal ( shared with Einar Bergsland and Franz Keller ) . Mork had his education from the Norwegian School of Sport Sciences . Mork died on 1 February 2012 , aged 64 .","The Four Hills Tournament or the German-Austrian Ski Jumping Week is a ski jumping event composed of four World Cup events and has taken place in Germany and Austria each year since 1952. With a few exceptions the ski jumping events are held chronologically at Oberstdorf, Garmisch-Partenkirchen, Innsbruck and Bischofshofen.",None
9941,WH_dev_100,2,"[0] The Zimba is called Rätikon
[1] The Rätikon is in Vorarlberg,",Zimba is located in Vorarlberg,"The Zimba , elevation 2,645 m ( 8,678 ft ) , is the most familiar mountain in the Austrian mountain range called Rätikon . Located in the hinterland of Bludenz , this horn is the landmark of Montafon valley and especially of the main village of Schruns . Three ridges and three walls emphasize the shapeliness of the form . The eastern ridge is one of the most familiar climbing routes of the whole Rätikon range , but the normal way leads along the western ridge . Despite the altitude of just 2,645 m , the Zimba is a great viewpoint for the entire region .","The Rätikon is a mountain range of the Central Eastern Alps located at the border between Vorarlberg, Liechtenstein and Graubünden. It is the geological border between the Eastern and Western Alps and stretches from the Montafon as far as the Rhine. In the south, the Prättigau is its limit, in the north the Walgau. In the east, it borders the Silvretta groups.",None
7901,WH_dev_4508,2,"[0] 2009 FIBA Asia Under-16 Championship is a FIBA Asia Under - 16 Championship.
[1] FIBA Asia Under-16 Championship is a basketball championship.",2009 fiba asia under-16 championship is specialized in/is an athletic competition of Basketball,"The 2009 FIBA Asia Under - 16 Championship was the qualifying tournament for FIBA Asia at the Under - 17 World Championship 2010 at Hamburg , Germany . The tournament was held on Johor Bahru , Malaysia from November 19 to November 27 .","The FIBA Asia Under-16 Championship is an under-16 basketball championship in the International Basketball Federation's FIBA Asia zone. The event started in 2009 and is held bi-annually. The winners compete in the FIBA Under-17 World Championship, which started in 2010.",None
9932,WH_dev_2067,2,"[0] The Viper at Six Flags AstroWorld  had operated at AstroWorld since 1989
[1] Six Flags AstroWorld was a seasonally between Kirby Drive and Fannin Avenue,  directly south of Loop 610 in Houston, Texas",Viper is located in Texas,"The Viper at Six Flags AstroWorld was an Anton Schwarzkopf designed Looping Star model and had operated at AstroWorld since 1989 . It consisted of a single loop and was demolished with the closing of AstroWorld on October 30 , 2005 . It had originally been the Jet Scream at Six Flags St. Louis .","Six Flags AstroWorld was a seasonally operated theme park located on approximately of land (later expanded to over ) between Kirby Drive and Fannin Avenue, directly south of Loop 610 in Houston, Texas. Opening on June 1, 1968, it was originally developed and constructed as part of the Astrodomain, the brainchild of local philanthropist and former Houston mayor Judge Roy Hofheinz, who intended it to complement The Astrodome.",None
3203,WH_dev_1304,2,"[0] The 1983 Tonnerre Kalara Club of Yaoundé was the 1983 cameroonian premier league in cameroon
[1] The 1983 cameroonian premier league was based in cameroon",1983 cameroonian premier league is in Cameroon,"In the 1983 season of MTN Elite One , 16 teams competed . Tonnerre Yaoundé won the championship .","Tonnerre Kalara Club of Yaoundé are a football club based in Yaoundé, Cameroon. The club was most prominent during the 1980s, winning all of their 5 national championship during the decade with Players like Weah Opong George, Goalkeeper Andre Boe, Roger Milla and some of the best African footballers. They have also won the national cup 5 times. Among the club's most notable players have been the African player of the Century Roger Milla, Rigobert Song and the former FIFA World Player of the Year, Liberian George Weah. The club appointed Englishman Richard Chappell, as fitness coach early in 2013.",None
4928,WH_dev_405,2,"[0] Ikeda Tsuneoki took is part Hashiba Hideyoshi
[1] Hideyoshi - only members of the samurai class could bear arms",Ikeda tsuneoki's occupation is Samurai,"Ikeda Tsuneoki ( 池田 恒興 , 1536 -- May 18 , 1584 ) , also known as Ikeda Nobuteru ( 池田 信輝 ) , was a daimyo and military commander during the Sengoku period and Azuchi - Momoyama period of the 16th century of Japan . He was a retainer of the famous warlords Oda Nobunaga and Toyotomi Hideyoshi . His father was Ikeda Toshitsune , who served Oda Nobuhide . There are various theories as to his birthplace ( including Owari , Mino , Settsu and Ōmi provinces ) . He was one of the four karō at Kiyosu Castle . His official position was Kii - no - kami ( 紀伊守 ) , or `` Governor of Kii Province '' . His courtesy name was Shōzaburo ( 勝三郎 ) . He later became a priest , and referred to himself as Shōnyu ( 勝入 ) . In his early years , he served Nobunaga , since his mother was a foster mother of Nobunaga . In 1570 , he was active in the Battle of Anegawa and became the lord of Inuyama Castle . After that , he took part in various battles , such as the Battle of Nagashino against the Takeda clan . In 1580 , he beat Araki Murashige , who locked himself in Hanakuma Castle and was given Murashige 's domain . In 1582 , he took part in Hashiba Hideyoshi 's force at the Battle of Yamazaki after the Incident at Honnō - ji , and beat Akechi Mitsuhide . He also took part in the meeting in Kiyosu Castle . In 1583 , he was given 130,000 koku in Mino Province , and became the lord of Ōgaki Castle . In 1584 , he took part in the Battle of Komaki and Nagakute on the side of Hideyoshi . He captured Inuyama Castle on his first assault . However , he and his eldest son , Ikeda Motosuke , died in the battle at Nagakute . His second son , Ikeda Terumasa , succeeded him as the leader of the Ikeda clan .","Hideyoshi is noted for a number of cultural legacies, including the restriction that only members of the samurai class could bear arms. He financed the construction, restoration and rebuilding of many temples standing today in Kyoto. Hideyoshi played an important role in the history of Christianity in Japan when he ordered the execution by crucifixion of twenty-six Christians.",None
1932,WH_dev_2936,3,"[0] Weiskittel-Roehle Burial Vault is identical to ashlar.
[1] Ashlar is masonry.
[2] Masonry is building.",Weiskittel-roehle burial vault is an instance of Building,"Weiskittel - Roehle Burial Vault is a historic burial vault located in Section P , Loudon Park Cemetery , Baltimore , Maryland . It is a rectangular structure made of cast iron built into the side of a hill , constructed to look like ashlar masonry and painted gray . It was made as the tomb of Anton W. Weiskittel who died in 1884 , a Baltimore iron founder . It was listed on the National Register of Historic Places in 1976 .","Ashlar is finely dressed (cut, worked) masonry, either an individual stone that has been worked until squared or the masonry built of such stone. It is the finest stone masonry unit, generally cuboid, mentioned by Vitruvius as opus isodomum, or less frequently trapezoidal. Precisely cut “on all faces adjacent to those of other stones”, ashlar is capable of very thin joints between blocks, and the visible face of the stone may be quarry-faced or feature a variety of treatments: tooled, smoothly polished or rendered with another material for decorative effect.","Masonry is the building of structures from individual units, which are often laid in and bound together by mortar; the term ""masonry"" can also refer to the units themselves. The common materials of masonry construction are brick, building stone such as marble, granite, travertine, and limestone, cast stone, concrete block, glass block, and cob. Masonry is generally a highly durable form of construction. However, the materials used, the quality of the mortar and workmanship, and the pattern in which the units are assembled can significantly affect the durability of the overall masonry construction. A person who constructs masonry is called a mason or bricklayer."
5883,WH_dev_1254,3,"[0] Eolagurus is from Cricetidae
[1] voles is from Cricetidae
[2] vole is Arvicolinae",Eolagurus belongs to Arvicolinae,Eolagurus is a genus of rodent in the family Cricetidae . It contains the following species : Yellow Steppe Lemming ( Eolagurus luteus ) Przewalski 's Steppe Lemming ( Eolagurus przewalskii ),"The Cricetidae are a family of rodents in the large and complex superfamily Muroidea. It includes true hamsters, voles, lemmings, and New World rats and mice. At almost 600 species, it is the second-largest family of mammals, and has members throughout the Americas, Asia, and Europe.","A vole is a small rodent; a relative of the mouse, with a stouter body, a shorter, hairy tail, a slightly rounder head, smaller ears and eyes, and differently formed molars (high-crowned and with angular cusps instead of low-crowned and with rounded cusps). There are approximately 155 species of voles. They are sometimes known as meadow mice or field mice in North America and Australia. Vole species form the subfamily Arvicolinae with the lemmings and the muskrats."
7583,WH_dev_4688,3,"[0] It is not stated in article 1 that mili's original language is in hindi
[1] It is not stated in article 2 that mili's original language is in hindi
[2] It is not stated in article 3  that mili's original language is in hindi",Mili's original language is Hindi,"Mili is a 1975 Bollywood romantic drama film directed by Hrishikesh Mukherjee . It starred Amitabh Bachchan , Jaya Bachchan and Ashok Kumar in lead roles . Jaya Bachchan received a Filmfare nomination as Best Actress , the only nomination for the film . The film was later remade in Telugu in 1976 as Jyothi starring Jayasudha in the title role .","Hrishikesh Mukherjee (""Hrishikesh Mukhopaddhae/Mukharji"" (see naming conventions)) (30 September 1922 – 27 August 2006) was an Indian film director known for a number of films, including ""Satyakam"", ""Chupke Chupke"", ""Anupama"", ""Anand"", ""Abhimaan"", ""Guddi"", ""Gol Maal"", ""Aashirwad"", ""Bawarchi"", ""Kissi Se Na Kehna"" and ""Namak Haraam"".","Namak Haraam (Hindi: नमक हराम, Nastaliq: نمکEnglish: ""Traitor"") is a 1973 Indian Hindi drama film directed by Hrishikesh Mukherjee. The music is by R.D. Burman, the screenplay by Gulzar, and lyrics by Anand Bakshi. The film stars Rajesh Khanna and Amitabh Bachchan. It also stars Rekha, Asrani, Raza Murad, A.K. Hangal, Simi Garewal and Om Shivpuri. Rajesh Khanna received his third BFJA Awards for Best Actor (Hindi) in 1974 for this film."
5669,WH_dev_5061,3,"[0] Bosson performed ""Black or White"".
[1] ""Black or White"" is a song from Michael Jackson.
[2] Michael Jackson was the ""king of the Pop"".",A genre of Bosson is Pop,"Bosson ( born Staffan Olsson on 21 February 1969 ) is a Swedish singer - songwriter . He first gained nationwide fame in Sweden when he imitated Michael Jackson in the first season of Sikta mot stjärnorna , performing `` Black or White '' and winning his semi-final . His big break as a solo artist came when composing and performing the song `` One in a Million '' from the album One in a Million which became a Top 10 hit in Europe and Asia in 2000 and 2001 , which also appeared in the movie Miss Congeniality . He wrote it to his then girlfriend Jessica Olérs , Miss Sweden 1998 , and was nominated for a Golden Globe . Two years later the successful follow - up Rockstar was released , and in June 2007 he released his fourth album Future 's Gone Tomorrow / Life Is Here Today and in June 2013 he released his fifth album Best Of 11 - Twelve . He served as an opening act for Britney Spears during her tour in 2000 , and has toured with Kylie Minogue . He has also written songs for Amy Grant and the famous guitarist Al Di Meola . As well as in his native Sweden , Bosson has achieved huge success and toured extensively in countries like Russia , Ukraine , Belarus and Kazakhstan . He also performed with Dima Bilan . His stage name comes from the fact that his father 's first name is Bo - hence he is Bo 's son .","Black or White is a single by American singer and songwriter Michael Jackson. The song was released by Epic Records on November 11, 1991 as the first single from Jackson's eighth studio album, ""Dangerous"". It was written, composed and produced by Michael Jackson and Bill Bottrell.","Michael Joseph Jackson (August 29, 1958 – June 25, 2009) was an American singer, songwriter, record producer, dancer, actor, and philanthropist. Called the ""King of Pop"", his contributions to music, dance, and fashion along with his publicized personal life made him a global figure in popular culture for over four decades."
9023,WH_dev_3203,3,"[0] Dejima Takeharu is a sumo wrestler
[1] Are six annual tournaments of sumo
[2] sumo wrestler is a rikishi",Dejima takeharu's occupation is Rikishi,"Dejima Takeharu ( 出島 武春 , born March 21 , 1974 ) is a former sumo wrestler from Kanazawa , Ishikawa , Japan . A former amateur champion , he made his professional debut in 1996 , reaching the top makuuchi division the following year . In 1999 he won the yūshō or tournament championship and earned promotion to the second highest rank of ōzeki , but he lost the rank in 2001 and , for the most part , remained a maegashira until his retirement in 2009 . He won ten special prizes and six gold stars over his long career . He wrestled for Musashigawa stable .","It is awarded in each of the six annual ""honbasho"" or official tournaments, to the wrestler who wins the most number of bouts. ""Yūshō"" are awarded in all six professional sumo divisions. The prize money for a top ""makuuchi"" division championship is currently 10 million yen, while for the lowest ""jonokuchi"" division the prize is 100,000 yen.","A is an official professional sumo tournament. There are six held each year, a system established in 1958. Only ""honbasho"" results matter in determining promotion and relegation for ""rikishi"" (sumo wrestlers). Tournaments in general may be called ""basho"".
A literal translation of ""honbasho"" is ""main (or real) tournament"". This term is used to distinguish these tournaments from display ""basho"" which are held as part of sumo tours, between the six major tournaments. Such display tournaments may have prize money attached but a wrestler's performance has no effect on his ranking. This type of sumo is often called ""hana-sumo"" (lit. flower-sumo) as it is not taken as seriously by the wrestlers.
""Honbasho"" last for 15 days. Sumo wrestlers ranked in the top two divisions (""makuuchi"" and ""jūryō"") wrestle once each day, while those of the lower divisions wrestle seven times, approximately once every alternate day."
4713,WH_dev_3688,3,"[0] Kryoneri, Olympia, is in Greece.
[1] Kryonery suffered from a fire.
[2] The fires affected Peloponnese.","Kryoneri, olympia is located in Peloponnese","Kryoneri ( Greek : Κρυονέρι , before 1928 : Μπάστα - Basta ) is a little village near Olympia , Elis , Greece . It is situated on the southwestern edge of the Foloi oak forest . It is 2 km south of Neraida , 4 km west of Doukas , 3 km east of Chelidoni and 9 km northeast of Olympia . Its population in 2001 was 264 .","Chelidoni is a village in the municipality of Ancient Olympia, Elis, Greece. In 2011 its population was 550. It is located in the southwestern foothills of the Foloi plateau, 3 km west of Kryoneri, 8 km north of Olympia and 17 km east of Pyrgos. The village suffered damage from the 2007 Greek forest fires.Chelidoni is also a locality near Ayios Alexandros in the district of Paphos,Republic of Cyprus.","The 2007 Greek forest fires were a series of massive forest fires that broke out in several areas across Greece throughout the summer of 2007. The most destructive and lethal infernos broke out on 23 August, expanded rapidly and raged out of control until 27 August, until they were put out in early September. The fires mainly affected western and southern Peloponnese as well as southern Euboea. The death toll in August alone stood at 67 people. In total 84 people lost their lives because of the fires, including several fire fighters."
7644,WH_dev_3596,3,"[0] Talk to Her is a 2002 Spanish drama written and directed by Pedro Almodóvar.
[1] This article is not needed.
[2] Pedro Almodóvar Caballero established a film production company with Agustín Almodóvar, responsible for producing all of his films since ""Law of Desire"" (1987).",Talk to her's producer is Agustín almodóvar,"Talk to Her ( Spanish : Hable con ella ) is a 2002 Spanish drama written and directed by Pedro Almodóvar , and starring Javier Cámara , Darío Grandinetti , Leonor Watling , Geraldine Chaplin , and Rosario Flores . The film follows two men who form an unlikely friendship as they care for two women who are both in comas . The film 's themes include the difficulty of communication between the sexes , loneliness and intimacy , and the persistence of love beyond loss . The film was a critical and commercial success , winning the BAFTA for Best Film Not in the English Language and the Golden Globe for Best Foreign Language Film while Almodóvar won the Academy Award for Best Original Screenplay . In 2005 , Time magazine film critics Richard Corliss and Richard Schickel included Talk to Her in their list of the All - TIME 100 Greatest Movies . Paul Schrader placed the film at 46 on his film canon of the 60 greatest films .","Javier Cámara Rodríguez (born 19 January 1967) is a Spanish actor. He starred in the Pedro Almodóvar films ""Talk to Her"" (2002), ""Bad Education"" (2004) and ""I'm So Excited"" (2013), and the television series ""7 Vidas"" (""Seven Lives"").","Pedro Almodóvar Caballero (born 25 September 1949) is a Spanish film director, screenwriter, producer and former actor. He came to prominence as a director and screenwriter during La Movida Madrileña, a cultural renaissance that followed the death of Spanish dictator Francisco Franco. His first few films characterised the sense of sexual and political freedom of the period. In 1986, he established his own film production company, El Deseo, with his younger brother Agustín Almodóvar, responsible for producing all of his films since ""Law of Desire"" (1987)."
8599,WH_dev_4589,3,"[0] The Sperberhai dyke forms part of the upper harz Water regale network of reservoirs
[1] the dyke ditch tkaes its name from the sperberhai dike
[2] the upper harz is in the state of lower saxony",Sperberhai dyke is located in Lower saxony,"The Sperberhai Dyke ( German : Sperberhaier Damm ) is in fact an aqueduct which forms part of the Upper Harz Water Regale network of reservoirs , ditches , dams and tunnels in the Harz mountains of central Germany . It carries the water of the Dyke Ditch over the depression of the Sperberhai to the Clausthal plateau . The Sperberhai Dyke was built in 1732 - 34 in order to satisfy the rising demand for water power for the water wheels of the Clausthal mines . The water crossed the embankment in a channel along its crest . The channel is only visible today at its western end . Its hydraulic capacity at peak times was up to 1,000 litres per second .","The Dyke Ditch is the longest artificial ditch in the Upper Harz in central Germany. Its purpose was to collect surface runoff for the operation of the Upper Harz mining industry from precipitation-heavy regions a long way away (particularly from the Bruchberg and parts of the Brocken massif). It was laid in 1732 and continually extended eastwards until 1827. Its original length was about 25 km; this was successively shortened by water tunnels between 1820 and 1861 to around 19 km. It is a central component of the Upper Harz Water Regale. Its takes its name from the Sperberhai Dyke which is, in fact, an embankment on top of which the Dyke Ditch runs in an aqueduct in order to cross a depression.","The Upper Harz refers to the northwestern and higher part of the Harz mountain range in Germany. The exact boundaries of this geographical region may be defined differently depending on the context. In its traditional sense, the term Upper Harz covers the area of the seven historical mining towns (""Bergstädte"") - Clausthal, Zellerfeld, Andreasberg, Altenau, Lautenthal, Wildemann and Grund - in the present-day German federal state of Lower Saxony. Orographically, it comprises the Harz catchment areas of the Söse, Innerste and Grane, Oker and Abzucht mountain streams, all part of the larger Weser watershed."
9384,WH_dev_1137,3,"[0] The Blizzard  is a Soviet film by Alexander Pushkin
[1] Alexander Pushkin was a Russian poet
[2] Russian Empire is the Soviet Union",The blizzard's country of origin is Soviet union,"The Blizzard ( Russian : Метель ) is a 1964 Soviet film directed by Vladimir Basov , based on the story `` The Blizzard '' from The Tales of the Late Ivan Petrovich Belkin by Alexander Pushkin .","Alexander Sergeyevich Pushkin  was a Russian poet, playwright, and novelist of the Romantic era who is considered by many to be the greatest Russian poet and the founder of modern Russian literature.","Russian literature refers to the literature of Russia and its émigrés and to the Russian-language literature of several independent nations once a part of what was historically Rus', the Russian Empire or the Soviet Union. The roots of Russian literature can be traced to the Middle Ages, when epics and chronicles in Old Russian were composed. By the Age of Enlightenment, literature had grown in importance, and from the early 1830s, Russian literature underwent an astounding golden age in poetry, prose and drama. Romanticism permitted a flowering of poetic talent: Vasily Zhukovsky and later his protégé Alexander Pushkin came to the fore. Prose was flourishing as well. The first great Russian novelist was Nikolai Gogol. Then came Ivan Turgenev, who mastered both short stories and novels. Leo Tolstoy and Fyodor Dostoyevsky soon became internationally renowned. In the second half of the century Anton Chekhov excelled in short stories and became a leading dramatist. The beginning of the 20th century ranks as the Silver Age of Russian poetry. The poets most often associated with the ""Silver Age"" are Konstantin Balmont, Valery Bryusov, Alexander Blok, Anna Akhmatova, Nikolay Gumilyov, Osip Mandelstam, Sergei Yesenin, Vladimir Mayakovsky, Marina Tsvetaeva and Boris Pasternak. This era produced some first-rate novelists and short-story writers, such as Aleksandr Kuprin, Nobel Prize winner Ivan Bunin, Leonid Andreyev, Fyodor Sologub, Aleksey Remizov, Yevgeny Zamyatin, Dmitry Merezhkovsky and Andrei Bely."
6379,WH_dev_1360,3,"[0] This article says that Mostafa Azizi is an Iranian television producer and Screenwriter
[1] This article says that a some producers are more involved in activities such as screenwriting
[2] This article says that Screenwriting is the art and craft of WRITING scripts",Mostafa azizi's field of work is Writing,"Mostafa Azizi ( Persian : مصطفی عزیزی ) ( born September 20 , 1962 ) is an Iranian Television producer and screenwriter .","A television producer is a person who oversees all aspects of video production on a television program. Some producers take more of an executive role, in that they conceive new programs and pitch them to the television networks, but upon acceptance they focus on business matters, such as budgets and contracts. Other producers are more involved with the day-to-day workings, participating in activities such as screenwriting, set design, casting, and directing.","Screenwriting, also called scriptwriting, is the art and craft of writing scripts for mass media such as feature films, television productions or video games. It is frequently a freelance profession."
7804,WH_dev_4462,3,"[0] Vicious Cycle is created by Lynyrd Skynyrd.
[1] not related.
[2] Lynyrd Skynyrd is best known for Southern rock genre.",A genre of Vicious cycle is Southern rock,"Vicious Cycle is the twelfth studio album by Lynyrd Skynyrd , released in 2003 . It was the first album by the band following the death of original bassist Leon Wilkeson , the song Mad Hatter being a tribute in memory to him . He died during recording , but does appear on two songs , `` The Way '' and `` Lucky Man '' . This album is the first to feature Wilkeson 's replacement , Ean Evans , the first with Michael Cartellone on drums , and the last album that guitarist Hughie Thomasson played on before he died . It included the single `` Red , White & Blue '' which peaked at number 27 on the US Mainstream Rock charts . The CD booklet contains a recount by year of events in the band 's history since 1964 . In the album , Kid Rock features in the bonus track , a remake of `` Gim me Back My Bullets '' .","Michael Cartellone (born June 7, 1962) is an American musician and the current drummer of Lynyrd Skynyrd .","Lynyrd Skynyrd (pronounced ) is an American rock band best known for popularizing the Southern rock genre during the 1970s. Originally formed in 1964 as ""My Backyard"" in Jacksonville, Florida, the band was also known by names such as ""The Noble Five"" and ""One Percent"", before finally deciding on ""Lynyrd Skynyrd"" in 1969. The band gained worldwide recognition for its live performances and signature songs ""Sweet Home Alabama"" and ""Free Bird"". At the peak of their success, three members died in an airplane crash in 1977, putting an abrupt end to the band's most popular incarnation. The band has sold 28 million albums in the United States."
1711,WH_dev_2499,3,"[0] Vecsaule parish is a unit of Bauska District
[1] Bauska District's principal city is Bauska
[2] Bauska is located in Bauska municipality",Vecsaule parish is located in Bauska municipality,"Vecsaule parish ( Latvian : Vecsaules pagasts ) is an administrative unit of the Bauska District , Latvia . Through the parish flows Lambārtes , Iecava and Mēmele River .","Bauska District was an administrative division of Latvia, located in Semigallia region, in the country's centre. It was organized into a city, a municipality and fifteen parishes, each with a local government authority. The principal city was Bauska.","Bauska is a town in Bauska municipality, in the Zemgale region of southern Latvia.
Bauska is located 66 km from the Latvian capital Riga and 20 km from the Lithuanian border on the busy European route E67"
9043,WH_dev_2604,3,"[0] The Nationalist Party used to be the Irish Parliamantary Party
[1] The Irish Parliamentary Party is the same as the Home Rule Party
[2] The Home Rule Party is a political party",Nationalist party is an instance of Political party,"The Nationalist Party was the continuation of the Irish Parliamentary Party , and was formed after partition , by the Northern Ireland - based members of the IPP . The Nationalist Party did not enter the House of Commons of Northern Ireland until 1924 , having won six seats in the general election of 1921 . In 1965 , it agreed to become the official opposition party in the House of Commons . On 20 June 1968 , Austin Currie , Nationalist Party MP at Stormont , with others , began a protest about discrimination in housing allocation by ' squatting ' ( illegally occupying ) a house in Caledon , County Tyrone . The house had been allocated by Dungannon Rural District Council to a 19 - year - old unmarried Protestant woman , Emily Beattie , who was the secretary of a local Unionist politician . Emily Beattie was given the house ahead of older married Catholic families with children . The protesters were evicted by officers of the Royal Ulster Constabulary ( RUC ) , one of whom was Emily Beattie 's brother . The next day the annual conference of the Nationalist Party unanimously approved of the protest action by Austin Currie in Caledon . This was one of the catalysts of the civil rights movement in Northern Ireland . The party became involved in the Derry civil rights march in October 1968 , which ended in violence amidst allegations of police brutality . As a result , the party withdrew from its role as official opposition on 15 October 1968 , following the controversy of two weeks earlier . The party developed a reputation for being disorganised and being little more than a collection of elected members with their own local machines . Many calls were made for the party to develop an overall organisation but it fell apart in the late 1960s . Earlier , many members had formed the National Democratic Party ( NDP ) after attempts at reform failed . The NDP merged into the Social Democratic and Labour Party at that party 's foundation in 1970 and many remaining nationalists followed them . One of the Nationalist Party 's last electoral contests was the 1973 election for the Assembly created as part of the Sunningdale Agreement . The lack of success in that election meant that the inevitable outcome was obvious , although a handful of councillors were elected to Omagh District Council and Londonderry City Council in 1973 and 1977 . In October 1977 , the party merged with Unity to form the Irish Independence Party which also included non-aligned republicans . Although it was successful for a while in capturing the Republican vote , it faded from view due to the rise of Sinn Féin in the early 1980s .","The Irish Parliamentary Party (IPP; commonly called the Irish Party or the Home Rule Party) was formed in 1874 by Isaac Butt, the leader of the Nationalist Party, replacing the Home Rule League, as official parliamentary party for Irish nationalist Members of Parliament (MPs) elected to the House of Commons at Westminster within the United Kingdom of Great Britain and Ireland up until 1918. Its central objectives were legislative independence for Ireland and land reform. Its constitutional movement was instrumental in laying the groundwork for Irish self-government through three Irish Home Rule bills.","The Home Rule League (1873–1882), sometimes called the Home Rule Party or the Home Rule Confederation, was a political party which campaigned for home rule for Ireland within the United Kingdom of Great Britain and Ireland, when it was replaced by the Irish Parliamentary Party."
2069,WH_dev_2658,3,"[0] Protoporphyrin IX occurs in the metabolism of porphyrin
[1] Porphyrins are compound
[2] Porphyrinis main chemical compound",Protoporphyrin ix is an instance of Chemical compound,"Protoporphyrin IX , in the metabolism of porphyrin , is created by the enzyme protoporphyrinogen oxidase .","Porphyrins are a group of heterocyclic macrocycle organic compounds, composed of four modified pyrrole subunits interconnected at their α carbon atoms via methine bridges (=CH−). The parent porphyrin is porphin, and substituted porphines are called porphyrins. The porphyrin ring structure is aromatic, with a total of 26 electrons in the conjugated system. Various analyses indicate that not all atoms of the ring are involved equally in the conjugation or that the molecule's overall nature is substantially based on several smaller conjugated systems. One result of the large conjugated system is that porphyrin molecules typically have very intense absorption bands in the visible region and may be deeply colored; the name ""porphyrin"" comes from the Greek word πορφύρα (""porphyra""), meaning ""purple"".","Porphin, sometimes spelled porphine, is the parent chemical compound for types of biochemically significant compounds called porphyrins. The chemical formula of porphin is CHN. Porphin is an organic compound that is aromatic and heterocyclic since its chemical structure, shown at right, essentially consists of four pyrrole rings joined together by four methine (=CH—) groups to form a larger macrocycle ring. The compound itself is a solid."
